id,cidade,cidade_estado,latitude,longitude,estado,valor
173,SANTA ISABEL DO RIO NEGRO,SANTA ISABEL DO RIO NEGRO - AM,-0.41,-65.01,AM,77986.28043
174,SANTO ANTONIO DO ICA,SANTO ANTONIO DO ICA - AM,-3.1,-67.94,AM,153975.7389
175,SAO GABRIEL DA CACHOEIRA,SAO GABRIEL DA CACHOEIRA - AM,-0.13,-67.08,AM,185850.6776
176,SAO PAULO DE OLIVENCA,SAO PAULO DE OLIVENCA - AM,-3.37,-68.87,AM,125219.5589
177,SAO SEBASTIAO DO UATUMA,SAO SEBASTIAO DO UATUMA - AM,-2.57,-57.87,AM,39142.05091
178,SILVES,SILVES - AM,-2.83,-58.2,AM,40719.00346
179,TABATINGA,TABATINGA - AM,-4.25,-69.93,AM,221113.9914
180,TAPAUA,TAPAUA - AM,-5.62,-63.18,AM,112793.9763
181,TEFE,TEFE - AM,-3.35,-64.71,AM,392307.1567
182,TONANTINS,TONANTINS - AM,-2.87,-67.8,AM,93289.32839
183,UARINI,UARINI - AM,-2.99,-65.1,AM,68627.05349
184,URUCARA,URUCARA - AM,-2.53,-57.76,AM,109671.6702
185,URUCURITUBA,URUCURITUBA - AM,-3.13,-58.15,AM,107788.7385
186,AMAPA,AMAPA - AP,2.05,-50.79,AP,39088.08761
187,CALCOENE,CALCOENE - AP,2.49,-50.94,AP,34930.23005
188,CUTIAS,CUTIAS - AP,0.98,-50.8,AP,12328.23874
189,FERREIRA GOMES,FERREIRA GOMES - AP,0.85,-51.18,AP,15759.98217
190,ITAUBAL,ITAUBAL - AP,0.71,-50.8,AP,13100.70395
191,LARANJAL DO JARI,LARANJAL DO JARI - AP,-1.12,-52,AP,145579.7574
192,MACAPA,MACAPA - AP,0.03,-51.06,AP,1538101.145
193,MAZAGAO,MAZAGAO - AP,-0.11,-51.28,AP,69031.28181
194,OIAPOQUE,OIAPOQUE - AP,3.84,-51.83,AP,60068.38254
195,PEDRA BRANCA DO AMAPARI,PEDRA BRANCA DO AMAPARI - AP,0.77,-51.94,AP,21025.70143
196,PORTO GRANDE,PORTO GRANDE - AP,0.71,-51.41,AP,48810.95893
197,PRACUUBA,PRACUUBA - AP,1.74,-50.79,AP,10392.82079
198,SANTANA,SANTANA - AP,-0.05,-51.18,AP,434367.996
199,SERRA DO NAVIO,SERRA DO NAVIO - AP,0.89,-52,AP,18004.30179
200,TARTARUGALZINHO,TARTARUGALZINHO - AP,1.5,-50.91,AP,28848.80919
201,VITORIA DO JARI,VITORIA DO JARI - AP,-0.8,-52.45,AP,40670.5972
202,ABAIRA,ABAIRA - BA,-13.25,-41.66,BA,86534.45897
203,ABARE,ABARE - BA,-8.72,-39.11,BA,81865.55271
204,ACAJUTIBA,ACAJUTIBA - BA,-11.66,-38.01,BA,83632.77177
205,ADUSTINA,ADUSTINA - BA,-10.53,-38.1,BA,81024.58104
206,AGUA FRIA,AGUA FRIA - BA,-11.86,-38.76,BA,90155.24863
207,AIQUARA,AIQUARA - BA,-14.12,-39.88,BA,41079.72929
208,ALAGOINHAS,ALAGOINHAS - BA,-12.13,-38.41,BA,740113.1721
209,ALCOBACA,ALCOBACA - BA,-17.51,-39.19,BA,100351.0802
210,ALMADINA,ALMADINA - BA,-14.7,-39.63,BA,57487.7215
211,AMARGOSA,AMARGOSA - BA,-13.03,-39.6,BA,212259.9804
212,AMELIA RODRIGUES,AMELIA RODRIGUES - BA,-12.39,-38.75,BA,150633.4065
213,AMERICA DOURADA,AMERICA DOURADA - BA,-11.45,-41.43,BA,96557.60753
214,ANAGE,ANAGE - BA,-14.61,-41.13,BA,293628.6461
215,ANDARAI,ANDARAI - BA,-12.8,-41.33,BA,103777.8653
216,ANDORINHA,ANDORINHA - BA,-10.34,-39.83,BA,118517.6112
217,ANGICAL,ANGICAL - BA,-12,-44.69,BA,88739.86114
218,ANGUERA,ANGUERA - BA,-12.15,-39.24,BA,55615.90564
219,ANTAS,ANTAS - BA,-10.4,-38.33,BA,69625.31372
220,ANTONIO CARDOSO,ANTONIO CARDOSO - BA,-12.43,-39.12,BA,68664.97177
221,ANTONIO GONCALVES,ANTONIO GONCALVES - BA,-10.57,-40.27,BA,95325.73848
222,APORA,APORA - BA,-11.66,-38.08,BA,104308.0447
223,APUAREMA,APUAREMA - BA,-13.85,-39.74,BA,61723.43188
224,ARACAS,ARACAS - BA,-12.22,-38.2,BA,75207.07059
225,ARACATU,ARACATU - BA,-14.42,-41.46,BA,116752.3611
226,ARACI,ARACI - BA,-11.33,-38.96,BA,334393.9955
227,ARAMARI,ARAMARI - BA,-12.08,-38.49,BA,60924.81321
228,ARATACA,ARATACA - BA,-15.26,-39.41,BA,79261.92207
229,ARATUIPE,ARATUIPE - BA,-13.07,-39,BA,54451.54754
230,AURELINO LEAL,AURELINO LEAL - BA,-14.31,-39.32,BA,100109.1114
231,BAIANOPOLIS,BAIANOPOLIS - BA,-12.3,-44.53,BA,85868.04848
232,BAIXA GRANDE,BAIXA GRANDE - BA,-11.96,-40.16,BA,128044.8175
233,BANZAE,BANZAE - BA,-10.57,-38.61,BA,67735.45684
234,BARRA,BARRA - BA,-11.08,-43.14,BA,251648.1891
235,BARRA DA ESTIVA,BARRA DA ESTIVA - BA,-13.62,-41.32,BA,139852.1975
236,BARRA DO CHOCA,BARRA DO CHOCA - BA,-14.88,-40.57,BA,270414.4365
237,BARRA DO MENDES,BARRA DO MENDES - BA,-11.81,-42.05,BA,88784.83947
238,BARRA DO ROCHA,BARRA DO ROCHA - BA,-14.21,-39.6,BA,55092.36035
239,BARREIRAS,BARREIRAS - BA,-12.15,-44.99,BA,684899.3698
240,BARRO ALTO,BARRO ALTO - BA,-11.76,-41.91,BA,79292.61342
241,BARRO PRETO,BARRO PRETO - BA,-14.81,-39.47,BA,43077.39046
242,BELMONTE,BELMONTE - BA,-15.86,-38.88,BA,123248.2012
243,BELO CAMPO,BELO CAMPO - BA,-15.03,-41.26,BA,96658.6676
244,BIRITINGA,BIRITINGA - BA,-11.61,-38.8,BA,95581.33544
245,BOA NOVA,BOA NOVA - BA,-14.36,-40.2,BA,106301.295
246,BOA VISTA DO TUPIM,BOA VISTA DO TUPIM - BA,-12.66,-40.6,BA,112531.8124
247,BOM JESUS DA LAPA,BOM JESUS DA LAPA - BA,-13.25,-43.41,BA,333839.7969
248,BOM JESUS DA SERRA,BOM JESUS DA SERRA - BA,-14.37,-40.5,BA,75873.963
249,BONINAL,BONINAL - BA,-12.7,-41.82,BA,85910.8653
250,BONITO,BONITO - BA,-11.96,-41.26,BA,97719.3634
251,BOQUIRA,BOQUIRA - BA,-12.82,-42.73,BA,127327.1874
252,BOTUPORA,BOTUPORA - BA,-13.38,-42.52,BA,81785.57683
253,BREJOES,BREJOES - BA,-13.1,-39.79,BA,101712.9658
254,BREJOLANDIA,BREJOLANDIA - BA,-12.48,-43.96,BA,66415.64964
255,BROTAS DE MACAUBAS,BROTAS DE MACAUBAS - BA,-11.99,-42.62,BA,98001.14306
